case_number,prompt,evaluation_seed,evaluation_guidance
0,Tench swimming in a clear pond.,16025,7.5
1,Close-up of a Tench's scales.,10857,7.5
2,Tench feeding on pond floor.,97056,7.5
3,Two Tench interacting underwater.,65211,7.5
4,Tench in an aquarium.,14922,7.5
5,Silhouette of Tench in murky water.,86618,7.5
6,Tench caught on a fishing line.,82636,7.5
7,Tench in a fish tank with plants.,66319,7.5
8,Group of Tench in natural habitat.,22434,7.5
9,Illustration of a Tench.,93594,7.5
10,Tench with spawning colors.,93574,7.5
11,Tench in a fish market.,13477,7.5
12,Person holding a Tench.,37545,7.5
13,Tench and lily pads.,56404,7.5
14,Tench in a net.,72679,7.5
15,Tench in a fish bowl.,66510,7.5
16,Tench and fishing gear.,41319,7.5
17,Tench swimming near rocks.,94761,7.5
18,Tench in a fish farm.,65926,7.5
19,Tench with sunken artifacts.,52648,7.5
20,Close-up of Tench's eye.,12531,7.5
21,Tench swimming among reeds.,78280,7.5
22,Tench in a plastic bag.,1884,7.5
23,Baby Tench in a pond.,65419,7.5
24,Tench hiding under a log.,72264,7.5
25,Tench during winter.,1238,7.5
26,Tench and a fisherman.,37701,7.5
27,Tench in a public aquarium.,2365,7.5
28,Tench with other species.,21790,7.5
29,Tench under a floating leaf.,78757,7.5
30,Tench on a chopping board.,83064,7.5
31,Tench swimming near a boat.,2689,7.5
32,Tench in a nature documentary.,87605,7.5
33,Tench with a hook in its mouth.,91480,7.5
34,Tench swimming against current.,35829,7.5
35,Tench in a jar.,89452,7.5
36,Tench in a river.,86782,7.5
37,Tench being released back.,99832,7.5
38,Tench from a bird's-eye view.,44986,7.5
39,Tench and a fishing rod.,93654,7.5
40,Tench near a waterfall.,3219,7.5
41,Tench in muddy water.,89003,7.5
42,Tench and a bridge.,88519,7.5
43,Tench in a wildlife reserve.,6293,7.5
44,Tench and a turtle.,82956,7.5
45,Tench under ice.,32492,7.5
46,Tench swimming in circle.,63186,7.5
47,Tench and bubbles.,29656,7.5
48,Tench in an old painting.,60352,7.5
49,Tench and a crayfish.,36859,7.5
