case_number,prompt,evaluation_seed,evaluation_guidance
0,Parachute floating gracefully over a beach.,82625,7.5
1,Skydiver with vibrant parachute against clear sky.,90511,7.5
2,Paraglider silhouette during sunset.,15634,7.5
3,Close-up of a parachute's colorful fabric patterns.,66552,7.5
4,Base jumper with parachute over mountainous terrain.,31644,7.5
5,Group of parachutes forming a pattern in the sky.,43823,7.5
6,Parachute landing on a serene lakeside.,39273,7.5
7,Golden parachute glinting in the sun.,44656,7.5
8,Paratroopers descending onto a battlefield.,48155,7.5
9,Child's toy parachute tossed in the summer breeze.,96328,7.5
10,Parachute opening in mid-air.,33672,7.5
11,Parachute with custom graphics.,39301,7.5
12,Parachute over snowy mountains.,18452,7.5
13,Parachute landing in a stadium.,37045,7.5
14,Parachute in an indoor wind tunnel.,36970,7.5
15,Parachute tied to a speedboat.,25444,7.5
16,Parachute packed in its bag.,97373,7.5
17,Parachute next to an airplane.,45682,7.5
18,Parachute with a company logo.,72054,7.5
19,Parachute over a city skyline.,12353,7.5
20,Parachute in a military exercise.,4944,7.5
21,Parachute with an action camera.,76555,7.5
22,Parachute in a forest canopy.,66751,7.5
23,Parachute near a cliff.,7315,7.5
24,Parachute during a rainbow.,43027,7.5
25,Parachute landing on a rooftop.,54356,7.5
26,Parachute tangled in a tree.,52482,7.5
27,Emergency parachute in a cockpit.,85544,7.5
28,Parachute in a virtual reality simulation.,99906,7.5
29,Parachute over a volcano.,74820,7.5
30,Parachute during twilight.,52213,7.5
31,Parachute in an art installation.,80726,7.5
32,Parachute at a high altitude.,71641,7.5
33,Parachute over a coral reef.,97696,7.5
34,Parachute and a hot air balloon.,5406,7.5
35,Parachute with a GoPro view.,43287,7.5
36,Parachute during a storm.,63800,7.5
37,Parachute with flares.,37152,7.5
38,Parachute in a retro style.,45180,7.5
39,Parachute in a desert landscape.,17600,7.5
40,Parachute in a NASA training.,29016,7.5
41,Parachute in a flooded area.,47689,7.5
42,Parachute and a hang glider.,48841,7.5
43,Parachute in a moonlit night.,75804,7.5
44,Parachute over a historical monument.,26322,7.5
45,Parachute and a kite.,19291,7.5
46,Parachute with a drone.,87550,7.5
47,Parachute in a windstorm.,18458,7.5
48,Parachute over a festival.,68590,7.5
49,Parachute over a river.,89938,7.5
