case_number,prompt,evaluation_seed,evaluation_guidance
0,Garbage truck collecting bins.,7745,7.5
1,Close-up of garbage truck cab.,19025,7.5
2,Garbage truck in a city alley.,98874,7.5
3,Person operating a garbage truck.,34121,7.5
4,Garbage truck unloading at landfill.,9124,7.5
5,Retro garbage truck design.,36589,7.5
6,Garbage truck with open back.,43231,7.5
7,Toy garbage truck on a carpet.,24542,7.5
8,Garbage truck in a parade.,17242,7.5
9,Automated garbage truck.,81424,7.5
10,Garbage truck at sunrise.,96246,7.5
11,Garbage truck in a residential area.,20672,7.5
12,Garbage truck with recycling logo.,53728,7.5
13,Garbage truck in front of skyscrapers.,44429,7.5
14,Garbage truck on a rural road.,61672,7.5
15,Garbage truck in a tunnel.,41257,7.5
16,Garbage truck with graffiti.,13574,7.5
17,Garbage truck during winter.,91827,7.5
18,Abandoned garbage truck.,94916,7.5
19,Garbage truck on a freeway.,59948,7.5
20,Garbage truck in a child's drawing.,32792,7.5
21,Person waving at garbage truck.,54101,7.5
22,Garbage truck at night.,37494,7.5
23,Garbage truck in a parking lot.,17693,7.5
24,Garbage truck next to a dumpster.,91798,7.5
25,Garbage truck with a flat tire.,38376,7.5
26,Close-up of garbage truck machinery.,49047,7.5
27,Garbage truck and street sweeper.,29451,7.5
28,Garbage truck in silhouette.,61005,7.5
29,Garbage truck with colorful bins.,33868,7.5
30,Garbage truck in heavy rain.,1247,7.5
31,Garbage truck with hazard lights.,3189,7.5
32,Garbage truck in a factory setting.,77255,7.5
33,Garbage truck picking up bulky waste.,38945,7.5
34,Garbage truck and alley cat.,74104,7.5
35,Garbage truck in 3D render.,8994,7.5
36,Garbage truck near a construction site.,22125,7.5
37,Garbage truck on a beach.,90749,7.5
38,Garbage truck with cartoon characters.,78609,7.5
39,Garbage truck with smoke coming out.,15920,7.5
40,Driver inside garbage truck.,43442,7.5
41,Garbage truck with a mural.,23748,7.5
42,Garbage truck and a bicycle.,72146,7.5
43,Garbage truck with holiday lights.,10049,7.5
44,Garbage truck in a comic book style.,70883,7.5
45,Garbage truck with a logo.,51896,7.5
46,Garbage truck in an industrial area.,52218,7.5
47,Miniature garbage truck model.,34065,7.5
48,Garbage truck with robotic arm.,38722,7.5
49,Garbage truck and a school bus.,23866,7.5
