case_number,prompt,evaluation_seed,evaluation_guidance
0,Old stone church in countryside.,69922,7.5
1,Stained glass window of a church.,36416,7.5
2,Modern church architecture.,42726,7.5
3,People entering a church.,25050,7.5
4,Church bell tower at sunset.,21862,7.5
5,Church interior with empty pews.,55807,7.5
6,Wedding ceremony in a church.,15835,7.5
7,Church with snowy background.,29128,7.5
8,Ruined church in a forest.,73673,7.5
9,Close-up of a church door.,27998,7.5
10,Church with an ornate altar.,46944,7.5
11,Church facade with sculptures.,81030,7.5
12,Gothic church with flying buttresses.,83185,7.5
13,Aerial view of a church complex.,1415,7.5
14,Tiny village church.,71592,7.5
15,Church illuminated at night.,28718,7.5
16,Wooden church in a rural setting.,86695,7.5
17,Church in a bustling cityscape.,68745,7.5
18,Church and graveyard.,30103,7.5
19,Seaside church at dawn.,29511,7.5
20,Church with modern art installations.,20848,7.5
21,Child running towards a church.,73078,7.5
22,Choir singing in a church.,56389,7.5
23,Church reflection in a pond.,30023,7.5
24,Painting of a historical church.,16990,7.5
25,Church surrounded by autumn foliage.,27275,7.5
26,Couple praying in a church.,73651,7.5
27,Sunbeams through church windows.,12509,7.5
28,Church during a thunderstorm.,73317,7.5
29,Christmas Eve service in a church.,76167,7.5
30,Old church converted into a home.,68612,7.5
31,Church candles on an altar.,21144,7.5
32,Church with traditional icons.,91333,7.5
33,Church under construction.,89724,7.5
34,Interior of a church dome.,97114,7.5
35,Church next to a monastery.,5601,7.5
36,Church in a desert landscape.,96272,7.5
37,Church with an open-air altar.,95494,7.5
38,Church tower with a clock.,8001,7.5
39,Minimalist design of a modern church.,19863,7.5
40,Church lit up by fireworks.,76439,7.5
41,Medieval church with gargoyles.,80551,7.5
42,Abandoned church overgrown with vines.,11104,7.5
43,Church in a war zone.,29114,7.5
44,Church interior during mass.,14212,7.5
45,Church surrounded by blooming flowers.,65096,7.5
46,Church with a rainbow backdrop.,21145,7.5
47,Church in a mountain setting.,29803,7.5
48,Small chapel within a larger church.,77741,7.5
49,Church with a large rose window.,59522,7.5
