case_number,source,prompt,evaluation_seed
000000203564,coco-30k,A bicycle replica with a clock as the front wheel.,41337
000000179765,coco-30k,A black Honda motorcycle parked in front of a garage.,63155
000000322141,coco-30k,A room with blue walls and a white sink and door.,78978
000000016977,coco-30k,A car that seems to be parked illegally behind a legally parked car,19959
000000106140,coco-30k,A large passenger airplane flying through the air.,86628
000000571635,coco-30k,"A bathroom with a toilet, sink, and shower.",10030
000000301837,coco-30k,"A long empty, minimal modern skylit home kitchen.",65989
000000190236,coco-30k,An office cubicle with four different types of computers.,48295
000000315702,coco-30k,A bathroom sink with toiletries on the counter.,82318
000000331352,coco-30k,A small closed toilet in a cramped space.,33826
000000517069,coco-30k,Two women waiting at a bench next to a street.,52484
000000189634,coco-30k,This is an open box containing four cucumbers.,51519
000000472598,coco-30k,An old-fashioned green station wagon is parked on a shady driveway.,17242
000000162113,coco-30k,A gas stove next to a stainless steel kitchen sink and countertop.,39503
000000126657,coco-30k,Several motorcycles riding down the road in formation.,59719
000000285421,coco-30k,A black cat is inside a white toilet.,94308
000000071988,coco-30k,A man in a wheelchair and another sitting on a bench that is overlooking the water.,8445
000000193622,coco-30k,A man sits with a traditionally decorated cow,17487
000000459912,coco-30k,Rows of motor bikes and helmets in a city,62115
000000548498,coco-30k,A cute kitten is sitting in a dish on a table.,62693
000000052087,coco-30k,A man getting a drink from a water fountain that is a toilet.,46111
000000182417,coco-30k,A beautiful dessert waiting to be shared by two people,26502
000000119964,coco-30k,A person holding a skateboard overlooks a dead field of crops.,53235
000000230610,coco-30k,A bathroom with a sink and shower curtain with a map print.,20618
000000226419,coco-30k,A random plane in the sky flying alone,95749
000000218026,coco-30k,A brown and black horse in the middle of the city eating grass.,82701
000000352538,coco-30k,A brown purse is sitting on a green bench.,77506
000000202913,coco-30k,Half of a white cake with coconuts on top.,90351
000000202658,coco-30k,An old toilet with a hello kitty cover top. ,97789
000000079472,coco-30k,Office space with office equipment on desk top.,11131
000000346071,coco-30k,Two husky's hanging out of the car windows.,54741
000000006672,coco-30k,The back door with a window in the kitchen.,78518
000000419074,coco-30k,Jet liner flying off into the distance on an overcast day,27989
000000046378,coco-30k,A cat eating a bird it has caught.,53479
000000382406,coco-30k,A woman is walking a dog in the city.,60951
000000175948,coco-30k,A tiny bathroom with only a toilet and a shelf.,48267
000000573223,coco-30k,A little girl in a public bathroom for kids.,10953
000000402514,coco-30k,A picture of a man playing a violin in a kitchen.,41009
